id,slug,title,occurred_on,occurred_on_precision,ended_on,jurisdiction,country,continent,level,type,tactic_primary,leader_slug,issue_of_the_day,outcome,outcome_on,outcome_note,granularity,era,summary,what_happened,stated_justification,effect_on_reporting,unknowns,status,status_updated_on,external_ids,illustration_key,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at,stage,ladder_note
26,1917-us-burleson-mail-ban-milwaukee-leader,United States Postmaster General Burleson strips the Milwaukee Leader of its mailing rate,1917-01-01,year,,US,US,north-america,national,,shutdowns_and_blocking,woodrow-wilson,"The Leader had published articles criticizing United States participation in the First World War and the draft, which the Post Office treated as violations of the Espionage Act's ban on obstructing military recruitment.",upheld,1921-03-07,The Supreme Court upheld the revocation of the Leader's mailing rate 7 to 2 in United States ex rel. Milwaukee Social Democratic Publishing Co. v. Burleson.,anchor,1910s,"Postmaster General Albert Burleson used the wartime Espionage Act to strip the Milwaukee Leader, a socialist daily, of its low-cost second-class mailing rate, cutting off its main channel to readers. The Supreme Court upheld the revocation in 1921, over two dissents warning it amounted to press controls.{c:117}{c:118}{c:119}","During the First World War, Postmaster General Albert Burleson's Post Office found the Milwaukee Leader, a socialist daily edited under publisher Victor Berger's direction, in violation of the Espionage Act for articles opposing the war, and revoked its second-class mailing permit, the low postal rate newspapers depended on to reach subscribers nationwide. The paper's publishing company asked the Supreme Court of the United States, the country's highest court, to order the Post Office to restore the rate, arguing the denial violated the Constitution's protections for speech and due process. In United States ex rel. Milwaukee Social Democratic Publishing Co. v. Burleson, decided March 7, 1921, the Court upheld Burleson's action by a 7 to 2 vote. Justices Oliver Wendell Holmes and Louis Brandeis dissented, warning that letting a postmaster judge a paper's loyalty amounted to a form of press controls over the mail.{c:117}{c:118}{c:119}","The Post Office found the Leader's wartime articles violated the Espionage Act, and the majority opinion held that the Constitution was not a shield for those who used its privileges to work against the government.{c:117}","The Leader lost the inexpensive second-class postal rate other newspapers used to reach subscribers across the country, forcing it onto costlier first-class postage and cutting its circulation.{c:118}",,historical,2026-09-22,{},,published,2026-09-22T23:01:52Z,2026-09-22,2026-12-22,5,2026-09-22T23:01:47Z,2026-09-23T00:12:44Z,silence,
27,1931-us-near-v-minnesota-gag-law,United States Supreme Court strikes down a Minnesota law used to shut a newspaper,1927-01-01,year,,US-MN,US,north-america,state_or_province,,prior_restraint,theodore-christianson,"The Saturday Press had run articles accusing Minneapolis officials, police and a local gangster of corruption and racketeering, allegations the county attorney treated as scandalous and defamatory under the state's 1925 nuisance law.",reversed,1931-06-01,The Supreme Court of the United States struck down the Minnesota law 5 to 4 as a restraint on publication in advance that the Constitution did not allow.,anchor,1920s,"A Hennepin County attorney used Minnesota's 1925 Public Nuisance Law to shut down The Saturday Press, a Minneapolis paper accusing officials of corruption. In 1931 the Supreme Court of the United States struck the law down, ruling that stopping a paper before publication was itself a form of press controls.{c:120}{c:121}{c:122}","Minnesota's 1925 Public Nuisance Law let a judge permanently shut any newspaper or periodical found to be malicious, scandalous or defamatory. In 1927 the Hennepin County Attorney, Floyd Olson, used the law to close The Saturday Press, a Minneapolis weekly run by Jay Near that had accused local officials and gangsters of corruption. Near appealed to the Supreme Court of the United States, the country's highest court, arguing the law violated the free-press guarantee that the First Amendment applies to the states through the Fourteenth Amendment's due process clause. On June 1, 1931, the Court ruled 5 to 4 in Near v. Minnesota that the law amounted to a prior restraint the Constitution did not allow, meaning government could not stop publication in advance, even of material later found libelous; a publisher could still be sued afterward, but the paper itself could not be shut down first. The decision became the foundation of later United States rulings against government orders blocking publication before it happens.{c:120}{c:121}{c:122}","Minnesota officials said the Public Nuisance Law applied to papers that habitually published malicious, scandalous or defamatory material, and treated The Saturday Press's allegations against local officials as exactly that kind of publication.{c:121}","The Saturday Press was shut down under the injunction; after the Supreme Court's ruling, states lost the power to close a newspaper in advance for its content, though publishers remained open to being sued afterward.{c:122}",,historical,2026-09-22,{},,published,2026-09-22T23:01:58Z,2026-09-22,2026-12-22,5,2026-09-22T23:01:53Z,2026-09-23T00:12:37Z,silence,
28,1941-us-office-of-censorship-wartime-press-code,United States creates an Office of Censorship and a wartime code for the press,1941-12-19,day,,US,US,north-america,national,,prior_restraint,franklin-d-roosevelt,"The United States had just entered the Second World War after the Japanese bombing of Pearl Harbor, and the government wanted to prevent newspapers and broadcasters from unintentionally publishing information useful to enemy forces.",sustained,1945-09-28,The Office of Censorship operated on the press's voluntary compliance through the war and was abolished by executive order after Japan's surrender.,anchor,1940s,"Twelve days after the bombing of Pearl Harbor, President Franklin Roosevelt created the Office of Censorship. Its director, Byron Price, a former Associated Press editor, wrote a Code of Wartime Practices asking newspapers and broadcasters to withhold information such as troop movements, and most of the press followed it voluntarily.{c:125}","Twelve days after Japan's December 7, 1941 bombing of the United States naval base at Pearl Harbor drew the country into the Second World War, President Franklin Roosevelt signed an order on December 19, 1941 creating the Office of Censorship. He named Byron Price, a former executive news editor of the Associated Press wire service, to run it. Price's office wrote a Code of Wartime Practices for American newspapers and, separately, for radio stations, asking editors and broadcasters not to publish or air information of possible use to an enemy, such as troop, ship and plane movements, weather conditions, casualty lists and damage to military targets. The code was voluntary rather than a legal requirement, and American publishers and broadcasters, largely supportive of the war effort, followed it without a formal enforcement mechanism. The office also opened and read international mail, cables and other communications. It was abolished once the war in the Pacific ended.{c:123}{c:124}{c:125}","Roosevelt said Americans hated press controls as much as they hated war but treated it as unavoidable in wartime, arguing that military information of possible use to an enemy had to be kept from publication at its source.{c:123}","Newspapers and broadcasters voluntarily withheld reporting on troop and ship movements, fortifications, weather, casualty lists and damage to military targets for the war's duration under the Office of Censorship's code.{c:124}",,historical,2026-09-22,{},,published,2026-09-22T23:04:15Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:11Z,2026-09-23T00:12:26Z,pressure,
29,1955-us-eastland-subcommittee-subpoenas-new-york-times,United States Senate panel subpoenas dozens of New York Times journalists over Communist ties,1955-11-01,month,,US,US,north-america,national,,surveillance_and_subpoenas,dwight-d-eisenhower,"Senator Eastland's subcommittee was investigating what it described as Communist Party influence in American newsrooms and broadcasting during the Cold War, and treated past party membership among journalists as grounds for scrutiny.",sustained,1956-12-01,The dismissals and resignations at The New York Times and other papers were not reversed; the paper said at year's end it had made no further dismissals beyond the initial cases.,anchor,1950s,"The Senate Internal Security Subcommittee, led by Senator James Eastland, issued 35 subpoenas over past or present Communist Party ties in the press, and 26 of them went to New York Times staff. The newspaper protested but several employees who would not answer were fired or forced to resign.{c:126}{c:127}{c:128}","The Senate Internal Security Subcommittee, a Senate panel investigating Communist Party influence chaired by Senator James Eastland of Mississippi, issued a wave of subpoenas in November 1955 for closed hearings on Communism in the press, radio and television industries. Of 35 subpoenas issued, 26 went to past or present employees of The New York Times. The newspaper's own editorial page said the investigation appeared aimed squarely at the paper, while also saying it did not believe in permanent guilt and thought employees could make up for past association with the Communist Party through good work. Even so, several Times staff members who indicated they would invoke their Fifth Amendment right against self-incrimination rather than answer the subcommittee's questions were dismissed or pressured to resign before or after testifying, including one employee let go before the hearings even began. Other newspapers, including the New York Daily News and the Hearst-owned Daily Mirror, fired staff members in the same way.{c:126}{c:127}{c:128}","The Senate Internal Security Subcommittee said it was investigating Communist Party influence within newsrooms, and its subpoenas asked witnesses about past or present party membership.{c:127}","Journalists at The New York Times and other papers who would not answer the subcommittee's questions about Communist Party ties were fired or pressured into resigning, a pattern that spread to other newsrooms during the hearings.{c:128}",,historical,2026-09-22,{},,published,2026-09-22T23:04:21Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:16Z,2026-09-23T00:12:18Z,punish,
30,1971-us-nixon-enemies-list,Nixon White House compiles an enemies list naming journalists for official pressure,1971-08-16,day,,US,US,north-america,national,,surveillance_and_subpoenas,richard-nixon,"Nixon's aides were reacting to sustained critical coverage and commentary from named journalists during his first term, including Mary McGrory's columns, which an internal notation described as habitually critical to the president.",reversed,1973-06-27,"The list became public during John Dean's Senate Watergate Committee testimony, discrediting the effort as Nixon's presidency unraveled over the wider Watergate scandal.",anchor,1970s,"White House Counsel John Dean wrote a memo on how to use federal agencies against President Nixon's political opponents, and the resulting list of more than 200 names included journalists such as CBS News correspondent Daniel Schorr. It became public during the 1973 Senate Watergate hearings.{c:129}{c:130}{c:131}","Staff in President Richard Nixon's White House began compiling a list of political opponents in June 1971. On August 16, 1971, White House Counsel John Dean wrote a memo titled 'Dealing with our Political Enemies,' describing how the administration could use the machinery of the federal government, including the Internal Revenue Service, the United States tax-collection agency, to conduct tax audits and other scrutiny of people and organizations it considered critical. The list grew to more than 200 names by September 1971 and included a media category naming journalists alongside politicians, activists and business figures. CBS News correspondent Daniel Schorr discovered he was number 17 on the list; The Washington Post columnist Mary McGrory was included for what an internal notation called her 'daily hate Nixon articles.' Dean revealed the list during his testimony to the Senate Watergate Committee, the Senate panel investigating the Watergate scandal, on June 27, 1973, making it public for the first time.{c:129}{c:130}{c:131}","Dean's memo described the effort as a way to use the available machinery of the federal government against people the administration regarded as its political enemies, without citing any specific conduct by the journalists named.{c:129}","Journalists named on the list, including Daniel Schorr and Mary McGrory, learned their reporting or commentary had made them targets for the same federal pressure, including possible tax audits, that the administration considered using against other political opponents.{c:130}",,historical,2026-09-22,{},,published,2026-09-22T23:04:27Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:22Z,2026-09-23T00:12:07Z,pressure,
31,1971-us-pentagon-papers-injunction,United States government seeks an injunction to stop The New York Times publishing the Pentagon Papers,1971-06-15,day,,US,US,north-america,national,,prior_restraint,richard-nixon,"The Pentagon Papers documented decades of internal government decision-making on the Vietnam War that contradicted public statements by several administrations, and the Nixon administration sought to prevent further disclosure of the classified history.",reversed,1971-06-30,The Supreme Court ruled 6 to 3 that the government's request for an injunction against publication failed to overcome the heavy presumption against prior restraint.,anchor,1970s,"After The New York Times began publishing a leaked secret history of the Vietnam War, the Nixon administration obtained a court order stopping further publication, the first such order against a major American newspaper. The Supreme Court lifted it two weeks later, ruling the government had not justified blocking publication in advance.{c:134}","Military analyst Daniel Ellsberg copied a classified Defense Department history of United States involvement in Vietnam, later known as the Pentagon Papers, and gave it to The New York Times, which began publishing excerpts on June 13, 1971. The Department of Justice obtained a temporary restraining order from a federal court on June 15, 1971, the first time the United States government had gone to court to stop a major newspaper from publishing a specific story, arguing publication would harm national security. When The Washington Post also began publishing excerpts, the government sought an injunction against it too. The Supreme Court of the United States, the country's highest court, heard the consolidated case on an emergency basis and ruled 6 to 3 on June 30, 1971, in New York Times Co. v. United States, that the government had not met the heavy burden required to justify stopping publication in advance, and both papers resumed publishing.{c:132}{c:133}{c:134}",Government lawyers argued that publishing the classified history would cause grave and irreparable harm to United States national security and ongoing diplomatic and military efforts in Vietnam.{c:133},The New York Times and The Washington Post were barred by court order from publishing further excerpts of the Pentagon Papers for roughly two weeks until the Supreme Court lifted the injunction.{c:132}{c:133}{c:134},,historical,2026-09-22,{},,published,2026-09-22T23:04:33Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:28Z,2026-09-23T00:12:09Z,silence,
32,1972-us-branzburg-v-hayes-reporters-privilege,United States Supreme Court rules reporters have no privilege to refuse grand jury subpoenas,1969-01-01,year,,US,US,north-america,national,,surveillance_and_subpoenas,richard-nixon,"Branzburg's articles on drug use and manufacturing drew the attention of Kentucky prosecutors, who wanted him to identify the people he had described witnessing commit the underlying offenses.",upheld,1972-06-29,"The Supreme Court upheld the grand jury's power to compel Branzburg's testimony 5 to 4, finding no First Amendment reporter's privilege.",anchor,1960s,"Louisville Courier-Journal reporter Paul Branzburg was subpoenaed by a Kentucky grand jury, a body that investigates possible crimes, after he wrote about drug users he had observed. The Supreme Court ruled in 1972 that the First Amendment gives reporters no special right to withhold sources or information from a grand jury.{c:135}{c:136}{c:137}","Paul Branzburg, a reporter for the Louisville Courier-Journal newspaper in Kentucky, wrote articles describing drug users he had observed making and using hashish, without naming them. A Jefferson County, Kentucky grand jury, a body of citizens that investigates possible crimes and can compel testimony, subpoenaed Branzburg in 1969 to identify the people he had written about; he refused, arguing the First Amendment protected him from having to reveal confidential sources and information gathered for reporting. His case was combined with two others raising the same question and reached the Supreme Court of the United States, the country's highest court. On June 29, 1972, the Court ruled 5 to 4 in Branzburg v. Hayes that reporters have the same obligation as any other citizen to answer relevant questions before a grand jury, rejecting the claim of a constitutional reporter's privilege to withhold sources.{c:135}{c:136}{c:137}","The Kentucky grand jury said it needed Branzburg's testimony to investigate the drug offenses he had personally witnessed while reporting, and the Supreme Court's majority held reporters had the same duty as other citizens to answer such questions.{c:136}","Reporters in the United States gained no constitutional shield against being compelled to testify before a grand jury or reveal confidential sources, leaving protection for sources to depend on state shield laws or prosecutorial discretion.{c:137}",,historical,2026-09-22,{},,published,2026-09-22T23:04:38Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:33Z,2026-09-23T00:12:11Z,punish,
33,1983-us-grenada-press-exclusion,United States military bars journalists from the invasion of Grenada,1983-10-25,day,,US,US,north-america,national,,access_ban,ronald-reagan,"Defense officials had for years blamed unrestricted press coverage for damaging public and political support during the Vietnam War, and applied that lesson by excluding reporters from the opening phase of the Grenada operation.",reversed,1985-04-01,"The Pentagon created a standing national media pool in 1985 on the Sidle Commission's recommendation, formally reversing the total exclusion used in Grenada.",anchor,1980s,"When United States forces invaded the Caribbean island of Grenada on October 25, 1983, military commanders kept all journalists away from the island for the first two days of fighting, citing operational reasons. Protests from news organizations led the Pentagon to create a rotating press pool for future operations.{c:138}{c:139}{c:140}","United States forces invaded the eastern Caribbean island nation of Grenada on October 25, 1983, under the Reagan administration, in an operation named Urgent Fury. Admiral Wesley McDonald, the operation's commander, barred journalists from the island for what he called operational reasons, and the Pentagon arranged no transportation, movement or communications facilities for reporters trying to reach Grenada on their own. Journalists were held on the nearby island of Barbados for roughly 48 hours while the fighting continued. After protests from news organizations and members of Congress, the Joint Chiefs of Staff, the senior body of United States military leadership, ordered limited press access restored by October 28. The exclusion prompted a Pentagon-appointed panel, the Sidle Commission, to recommend a rotating pool of reporters for the early stages of future military operations, a system the Pentagon adopted in 1985.{c:138}{c:139}{c:140}","Military commanders said the initial exclusion of journalists protected reporters' safety during active combat, a rationale journalists disputed by noting they had always accepted the risks of covering war as part of their profession.{c:139}","No independent journalists were present to document the first two days of the invasion, and the press pool of about 15 reporters that eventually reached Grenada on October 27 remained tightly escorted by the military.{c:138}{c:139}{c:140}",,historical,2026-09-22,{},,published,2026-09-22T23:04:44Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:39Z,2026-09-23T00:11:47Z,restrict,
34,1981-haiti-duvalier-radio-haiti-inter-exile,"Haiti's Duvalier government arrests and deports Radio Haiti-Inter staff, driving its director into exile",1980-11-28,year,,HT,HT,north-america,national,,expulsion_and_visa_denial,jean-claude-duvalier,"Radio Haiti-Inter had built a reputation for independent reporting critical of the Duvalier government at a time when most Haitian media avoided such coverage, drawing sustained official friction toward the station.",reversed,1986-02-01,Jean Dominique returned to Haiti and to Radio Haiti-Inter in February 1986 after the fall of President-for-life Jean-Claude Duvalier's government.,anchor,1980s,"Under President Jean-Claude Duvalier, Haitian authorities arrested and deported staff of Radio Haiti-Inter, an independent station that had reported critically on the government, forcing its director, journalist Jean Dominique, into exile after security forces raided the station on November 28, 1980. He returned only after Duvalier's government fell in 1986.{c:729}","Jean Dominique had worked at Radio Haiti since the late 1960s and bought the station in 1971, renaming it Radio Haiti-Inter and building it into Haiti's leading independent broadcaster under the government of President-for-life Jean-Claude 'Baby Doc' Duvalier, who had succeeded his father, François Duvalier, in 1971. In 1981, authorities arrested and deported Dominique's wife, journalist Michèle Montas, along with other Radio Haiti-Inter staff, and Dominique himself was forced into exile the same year. The station's independent reporting on government abuses had long drawn official friction. Dominique did not return to Haiti until February 1986, after the fall of Duvalier's government ended nearly three decades of rule by father and son. He would later be forced into exile a second time, in 1991, after a separate military takeover, before returning again in 1994.{c:729}{c:142}{c:143}",Haitian authorities did not publish a specific charge against Radio Haiti-Inter's staff; contemporary accounts describe the arrests and deportations as part of the Duvalier government's broader intolerance of the station's independent reporting.{c:729}{c:142}{c:143},"Radio Haiti-Inter lost its director and other staff to arrest, deportation and exile after the station was raided on November 28, 1980, suppressing one of Haiti's few independent broadcast voices until Dominique's return five years later.{c:729}{c:142}{c:143}",,historical,2026-09-22,{},,published,2026-09-22T23:04:49Z,2026-09-22,2026-12-22,7,2026-09-22T23:04:45Z,2026-09-23T02:33:08Z,eliminate,
35,1939-brazil-vargas-creates-dip,Brazil's Vargas government creates a state messaging department with broad press powers,1939-01-01,year,,BR,BR,south-america,national,,outlet_licensing,getulio-vargas,Vargas had ruled by decree since 1937 under the Estado Novo and used the DIP to promote his government's program and nationalist agenda while suppressing coverage critical of his rule.,reversed,1945-01-01,The DIP was dissolved in 1945 when the military removed Vargas from power and the Estado Novo dictatorship ended.,anchor,1930s,"President Getúlio Vargas created the Department of Press and state messaging in 1939 during Brazil's Estado Novo dictatorship, giving the government direct control over what newspapers, radio and film could publish. The department operated as a central instrument of press controls for six years, until the Estado Novo ended in 1945.{c:144}{c:145}{c:146}","Getúlio Vargas, president of Brazil, had ruled by decree since closing Congress in 1937 and declaring the Estado Novo, or New State. In 1939 his government created the Departamento de Imprensa e Propaganda, the Department of Press and state messaging, known as the DIP, to control news content and promote the government's political program across newspapers, radio and film. The DIP reviewed material before publication, dictated approved themes and language, and could shut down or discipline outlets that stepped outside its guidelines. It functioned as the government's central instrument of press control for six years, shaping coverage of Vargas's policies and suppressing criticism of his government. The DIP was dissolved in 1945 when the Estado Novo ended and Vargas was removed from power by the military, though its intelligence and information functions were later inherited by successor government bodies.{c:144}{c:145}{c:146}","Vargas's government presented the DIP as the coordinating body for national state messaging under the Estado Novo, tasked with promoting the government's program rather than acknowledging a role in suppressing criticism.{c:144}{c:145}{c:146}","Brazilian newspapers, radio stations and filmmakers operated under the DIP's pre-publication review and approved-content guidelines for six years, with the department able to discipline or close outlets that published material outside its guidelines.{c:145}",,historical,2026-09-22,{},,published,2026-09-22T23:04:55Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:50Z,2026-09-23T00:12:28Z,silence,
36,1973-chile-coup-press-shutdown,Chile's military government shuts opposition radio stations and newspapers after the 1973 coup,1973-09-11,day,,CL,CL,south-america,national,,shutdowns_and_blocking,augusto-pinochet,"Chile's armed forces were in the process of overthrowing President Salvador Allende's elected government on September 11, 1973, and moved to suppress broadcasters and newspapers that continued to support him as the coup unfolded.",sustained,1990-03-01,"Press restrictions continued under military rule until Chile's return to civilian government in March 1990, after Pinochet lost a 1988 plebiscite on his continued rule.",anchor,1970s,"On the day of the September 11, 1973 military coup that overthrew President Salvador Allende, Chile's armed forces bombed and shut down radio stations that opposed the takeover, arrested journalists and closed newspapers aligned with the ousted government, under the military junta led by Augusto Pinochet.{c:147}{c:148}{c:149}","On September 11, 1973, Chile's armed forces, led by General Augusto Pinochet, moved to overthrow the elected government of President Salvador Allende. As the coup unfolded, the military moved against radio stations that continued broadcasting statements opposing the takeover. Radio Magallanes was bombed and hit with gunfire around 10 a.m. and went off the air about 27 minutes later, with four of its journalists arrested in the raid. Radio Candelaria, the last station still opposing the coup, lost its signal shortly before the presidential palace, La Moneda, was bombed at 11:52 a.m. In the following days, the new military government shut down news outlets that had supported Allende's government and barred many journalists identified with them from working in Chile's now military-controlled press, forcing some into what one journalist later called internal exile and driving others abroad.{c:147}{c:148}{c:149}","The military junta that took power on September 11, 1973 treated broadcasters and newspapers that had supported Allende's government as extensions of a political order it had just overthrown, and moved to suppress them as part of securing control.{c:147}{c:148}{c:149}","Radio stations supporting Allende's government went off the air within hours of the coup, journalists were arrested during the takeover, and outlets aligned with the ousted government were shut down and their staff blacklisted from the Chilean press.{c:148}",,historical,2026-09-22,{},,published,2026-09-22T23:05:00Z,2026-09-22,2026-12-22,5,2026-09-22T23:04:55Z,2026-09-23T00:12:00Z,silence,
37,1976-argentina-junta-press-decrees,Argentina's military junta threatens journalists with prison for reporting on its opponents,1976-03-24,day,,AR,AR,south-america,national,,detention_and_violence,jorge-videla,Argentina's military had just overthrown the elected government and moved immediately to prevent reporting sympathetic to leftist groups it had outlawed or reporting it considered damaging to the armed forces' standing.,reversed,1983-12-10,"Argentina returned to civilian, elected government under President Raúl Alfonsín in December 1983, ending the junta's press decrees.",anchor,1970s,"Hours after seizing power on March 24, 1976, Argentina's military junta, led by General Jorge Videla, issued Communiqué No. 19, threatening up to 10 years in prison for reporting favorable to groups it called subversive. Hundreds of journalists were later detained, killed or forced into exile.{c:150}{c:151}{c:152}","Argentina's armed forces overthrew President Isabel Perón's government on March 24, 1976 and installed a military junta headed by General Jorge Videla. The same day, the junta issued Communiqué No. 19, threatening imprisonment of up to 10 years for anyone who published or reproduced material from organizations the government had banned, and threatening up to 10 years for reporting that the government said disrupted, harmed or discredited the armed forces. Security forces raided newspapers around the country, arresting and jailing editors and reporters and closing some publications outright. Jacobo Timerman, editor of the newspaper La Opinión, was detained in April 1977 and later held under house arrest. At the English-language Buenos Aires Herald, editor Robert Cox and journalist Andrew Graham-Yooll kept publishing the names of people who had disappeared under the military's rule, until death threats forced both men to leave the country. A subcommittee investigating the period found that roughly 500 journalists had left Argentina for political reasons, while dozens more were reported missing or held in detention centers.{c:150}{c:151}{c:152}","The junta's Communiqué No. 19 framed reporting on groups it had banned, or coverage it considered damaging to the armed forces, as itself a punishable offense carrying years of imprisonment.{c:150}","Newspapers were raided and some closed, editors and reporters were jailed, and rights investigators later documented dozens of journalists missing or in detention and roughly 500 who left the country for political reasons during the military's rule.{c:151}",,historical,2026-09-22,{},,published,2026-09-22T23:05:40Z,2026-09-22,2026-12-22,5,2026-09-22T23:05:01Z,2026-09-23T00:11:56Z,eliminate,
38,1933-germany-editors-law,Nazi Germany's Editors Law bars Jewish journalists from the press and puts editors under state direction,1933-10-04,day,,DE,DE,europe,national,,credential_control,adolf-hitler,"Hitler's government, in power only since January 1933, was consolidating control over German public life and moved within months to bring newspapers and their editors directly under state and party direction.",reversed,1945-05-08,"The Editors Law and the Reich Press Chamber ended with Nazi Germany's defeat and unconditional surrender on May 8, 1945.",anchor,1930s,"Nine months after Adolf Hitler became chancellor, Germany's Schriftleitergesetz, or Editors Law, required journalists to register with a new state-controlled Reich Press Chamber and barred non-Aryans from the profession, while directing editors to omit anything judged harmful to the Reich's standing.{c:153}{c:154}{c:155}","Adolf Hitler became chancellor of Germany in January 1933, and his government moved quickly to bring the press under state control. On October 4, 1933, it enacted the Schriftleitergesetz, the Editors Law, which required every editor and journalist to register with the newly created Reich Press Chamber, a compulsory professional body under the state messaging Ministry, in order to practice. The Reich Press Chamber kept registries of journalists it certified as racially pure and excluded Jews, and those married to Jews, from the profession entirely. The law's Paragraph 14 required editors to omit from publication anything calculated to weaken the strength of the German state, called the Reich, at home or abroad, and the state messaging Ministry issued daily directives on what could be reported and how. Editors who defied the directives risked losing their registration, dismissal or worse, including imprisonment in a concentration camp.{c:153}{c:154}{c:155}","The law's own text required editors to keep out of print anything judged calculated to weaken the strength of the Reich at home or abroad, casting the requirement as a matter of protecting the German state's standing.{c:154}","Jewish journalists and editors were barred outright from the profession, remaining editors had to follow the state messaging Ministry's daily directives on content, and those who did not risked losing their registration, their jobs or their freedom.{c:155}",,historical,2026-09-22,{},,published,2026-09-22T23:05:45Z,2026-09-22,2026-12-22,5,2026-09-22T23:05:41Z,2026-09-23T00:12:33Z,silence,
39,1922-ussr-glavlit-censorship,"Soviet Russia creates Glavlit, a central office to review all printed material before publication",1922-01-01,year,,RU,RU,europe,national,,prior_restraint,vladimir-lenin,"The new Soviet government, having just consolidated power after years of revolution and civil war, sought a single, centrally controlled system to replace the uncoordinated military and civilian press controls bodies it had inherited.",ongoing,1989-01-01,"Glavlit's authority over publishing was still largely intact through the 1980s, though its standards were relaxed from 1988 under Gorbachev's glasnost policy before its 1991 dissolution.",anchor,1920s,"In 1922, under Vladimir Lenin's government, Soviet Russia created Glavlit, a single agency with final authority to review newspapers, books, plays and even posters before they could be printed or performed. By 1930 no publication in the Soviet Union could appear without its approval.{c:156}{c:157}{c:158}","The government led by Vladimir Lenin created Glavlit in 1922 to replace a patchwork of separate military and civilian press controls agencies left over from the Russian Civil War with a single central office. Glavlit, short for the Chief Administration for Literary and Publishing Affairs, held final authority over printed materials and the performing arts, reviewing manuscripts, newspapers and plays before they could reach the public. Its censors watched for material that criticized the Communist Party or the Soviet state, whether directly or by implication, as well as economic or military information judged to threaten state security. By 1930 all printing and publishing in the Soviet Union, down to posters, notepads and theater tickets, required Glavlit's approval before release. The system continued for decades, with its standards loosened only in 1988 under Mikhail Gorbachev's glasnost policy of openness, before Glavlit was dissolved by decree in 1991.{c:156}{c:157}{c:158}","Glavlit's mandate was to prevent the publication of material that could pose a military or economic security threat, or that could be read as critical of the Communist Party or the Soviet state.{c:156}{c:157}{c:158}","No newspaper, book, play or even minor printed item such as a poster or notepad could be published or performed in the Soviet Union without Glavlit's prior approval, a system that lasted essentially unchanged for over six decades.{c:157}",,historical,2026-09-22,{},,published,2026-09-22T23:05:50Z,2026-09-22,2026-12-22,5,2026-09-22T23:05:46Z,2026-09-23T00:12:40Z,silence,
40,1938-spain-franco-press-law,Franco's Spain requires state permission to be a journalist under a wartime Press Law,1938-04-01,month,,ES,ES,europe,national,,credential_control,francisco-franco,Franco's Nationalist forces were still fighting Spain's civil war in April 1938 and used the new Press Law to consolidate direct control over which newspapers could exist and who could work as a journalist within them.,reversed,1977-04-01,"Spain abolished prior press controls by decree in April 1977, after Franco's 1975 death, ahead of the 1978 constitution that guaranteed freedom of the press.",anchor,1930s,"While Spain's civil war continued, the Nationalist government led by Francisco Franco enacted a Press Law in April 1938 requiring government permission to found a newspaper, work as a journalist or direct a paper, alongside continued pre-publication press controls and years-long prison terms for vaguely defined offenses.{c:159}{c:160}{c:161}","During Spain's civil war, the Nationalist side led by General Francisco Franco enacted a Press Law in April 1938 that placed the country's newspapers under direct state control. The law required government permission to found a newspaper, to work as a professional journalist, or to serve as a newspaper's director, effectively letting the government decide who could practice journalism at all. Pre-publication press controls, already in place since the war's start, continued under the new law. The law also created a vaguely defined offense, the diffusion of false and tendentious news against the authority of the state, that carried prison sentences of three to ten years. The system remained in force, with modifications, for decades; a 1966 law under minister Manuel Fraga presented itself as ending press controls but kept broad limits on content, and between 1966 and 1968 authorities still imposed 180 separate penalties on the press.{c:159}{c:160}{c:161}","The 1938 Press Law and its later penalties applied to what officials called the diffusion of false and tendentious news against the authority of the state, a standard broad enough to cover ordinary critical reporting.{c:160}","Journalists and newspaper directors needed government permission to work at all, coverage remained subject to pre-publication review, and reporters faced years in prison for material officials judged damaging to the state's authority.{c:161}",,historical,2026-09-22,{},,published,2026-09-22T23:05:56Z,2026-09-22,2026-12-22,6,2026-09-22T23:05:51Z,2026-09-23T01:39:48Z,silence,
